food_code,food_name,primarysource,secondarysource,Primary food group,food_group_nin,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g
A001,"Amaranth seed, black (Amaranthus cruentus)",ifct2017,,,Cereals and millets,1490,356.11,59.98,14.59,5.74,0.88,7.02
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",ifct2017,,,Cereals and millets,1489,355.87,61.46,13.27,5.56,0.8,7.47
A003,Bajra (Pennisetum typhoideum),ifct2017,,,Cereals and millets,1456,347.98,61.78,10.96,5.43,0.81,11.49
A004,Barley (Hordeum vulgare),ifct2017,ukfct,,Cereals and millets,1321,315.72,61.29,10.94,1.3,0.06,15.64
A005,Jowar (Sorghum vulgare),ifct2017,,,Cereals and millets,1398,334.12,67.68,9.97,1.73,1.27,10.22
A006,"Maize, dry (Zea mays)",ifct2017,,,Cereals and millets,1398,334.12,64.77,8.8,3.77,1.66,12.24
A007,"Maize, tender, local (Zea mays)",ifct2017,,,Cereals and millets,502,119.98,22.69,3.57,1.4,1.47,3.67
A008,"Maize, tender, sweet (Zea mays)",ifct2017,,,Cereals and millets,405,96.8,16.42,4.16,1.35,4.67,3.3
A009,Quinoa (Chenopodium quinoa),ifct2017,ukfct,,Cereals and millets,1374,328.39,53.65,13.11,5.5,1.41,14.66
A010,Ragi (Eleusine coracana),ifct2017,,,Cereals and millets,1342,320.74,66.82,7.16,1.92,0.34,11.18
A011,Rice flakes (Oryza sativa ),ifct2017,,,Cereals and millets,1480,353.72,76.75,7.44,1.14,0.34,3.46
A012,Rice puffed (Oryza sativa ),ifct2017,,,Cereals and millets,1514,361.85,77.68,7.47,1.62,0.64,2.56
A013,"Rice, raw, brown (Oryza sativa )",ifct2017,ukfct,,Cereals and millets,1480,353.72,74.8,9.16,1.24,0.69,4.43
A014,"Rice, parboiled, milled (Oryza sativa )",ifct2017,,,Cereals and millets,1471,351.57,77.16,7.81,0.55,0.67,3.74
A015,"Rice, raw, milled (Oryza sativa )",ifct2017,,,Cereals and millets,1491,356.35,78.24,7.94,0.52,0.69,2.81
A016,Samai (Panicum miliare),ifct2017,,,Cereals and millets,1449,346.31,65.55,10.13,3.89,0.37,7.72
A017,Varagu (Paspalum scrobiculatum),ifct2017,,,Cereals and millets,1388,331.73,66.19,8.92,2.55,1.29,6.39
